原字段	en	ja	ar	de	es	fr	pt	th	vi	zh-TW
The Black Iced Brew: You are brutally honest, zero-sugar, and probably judge everyone else's life choices.	The Black Iced Brew: You are brutally honest, zero-sugar, and probably judge everyone else's life choices.	ブラックアイスブルー:あなたは残酷に正直で、砂糖ゼロであり、おそらく他の人の人生の選択を判断します。	المشروب المثلج الأسود: أنت صادق بوحشية ، وخالي من السكر ، وربما تحكم على خيارات حياة أي شخص آخر.	Das Black Iced Brew: Sie sind brutal ehrlich, zuckerfrei und beurteilen wahrscheinlich die Lebensentscheidungen aller anderen.	The Black Iced Brew: Eres brutalmente honesto, sin azúcar y probablemente juzgas las elecciones de vida de todos los demás.	The Black Iced Brew : Vous êtes brutalement honnête, sans sucre et jugez probablement les choix de vie de tout le monde.	The Black Iced Brew: Você é brutalmente honesto, sem açúcar e provavelmente julga as escolhas de vida de todos os outros.	เบียร์เย็นดำ: คุณซื่อสัตย์อย่างไร้ความปราณี ไม่มีน้ำตาล และอาจตัดสินการเลือกชีวิตของคนอื่น	The Black Iced Brew: Bạn trung thực một cách tàn nhẫn, không đường và có thể  giá lựa chọn cuộc sống của người khác.	黑冰鎮啤酒：你非常誠實，零糖，可能會評判其他人的生活選擇。
The strength of your ancestors flows through you, guiding your every step.	The strength of your ancestors flows through you, guiding your every step.	先祖の力が皆さんを通って流れ、皆さんの一歩一歩を導いています。	تتدفق قوة أسلافك من خلالك ، وتوجه كل خطوة.	Die Kraft deiner Vorfahren fließt durch dich und leitet jeden deiner Schritte.	La fuerza de tus antepasados fluye a través de ti, guiando cada paso.	La force de vos ancêtres coule à travers vous, guidant chacun de vos pas.	A força de seus ancestrais flui através de você, guiando cada passo seu.	ความแข็งแกร่งของบรรพบุรุษของคุณไหลผ่านคุณ นำทางทุกย่างก้าวของคุณ	Sức  của tổ tiên bạn chảy qua bạn, hướng dẫn từng bước của bạn.	你祖先的力量流經你，指引着你的每一步。
A past lover who still can’t stand seeing you move on.	A past lover who still can’t stand seeing you move on.	あなたが前に進むのをまだ見ることができない過去の恋人。	عاشق سابق لا يزال غير قادر على تحمل رؤيتك تمضي قدمًا.	Ein ehemaliger Liebhaber, der es immer noch nicht ertragen kann, dass du weiterziehst.	Un amante del pasado que todavía no puede soportar verte seguir adelante.	Un ancien amant qui ne supporte toujours pas de te voir passer à autre chose.	Um ex-amante que ainda não suporta ver você seguir em frente.	คนรักในอดีตที่ยังทนไม่ได้ที่จะเห็นคุณก้าวต่อไป	Một người yêu trong quá khứ vẫn không thể chịu đựng được khi thấy bạn bước tiếp.	一個仍然無法忍受看到你繼續前進的過去的愛人。
Teddy	Teddy	テディ	تيدي	Teddy	Peluche	Teddy	Ursinho de pelúcia	เท็ดดี้	Teddy	泰迪
The person who managed to cook a gourmet meal and clean the entire kitchenbefore the delivery driver could arrive with takeout.	The person who managed to cook a gourmet meal and clean the entire kitchenbefore the delivery driver could arrive with takeout.	配達ドライバーがテイクアウトを持って到着する前に、グルメな食事を調理し、キッチン全体を掃除することに成功した人。	الشخص الذي تمكن من طهي وجبة شهية وتنظيف المطبخ بأكمله قبل أن يصل سائق التوصيل مع تناول الطعام في الخارج.	Die Person, die es geschafft hat, ein Gourmet-Essen zu kochen und die gesamte Küche zu reinigen, bevor der Lieferfahrer mit einem Imbiss ankommen konnte.	La persona que logró cocinar una comida gourmet y limpiar toda la cocina antes de que el repartidor pudiera llegar con comida para llevar.	La personne qui a réussi à préparer un repas gastronomique et à nettoyer toute la cuisine avant que le livreur puisse arriver avec des plats à emporter.	A pessoa que conseguiu cozinhar uma refeição gourmet e limpar toda a cozinha antes que o motorista de entrega pudesse chegar com comida para viagem.	คนที่สามารถทำอาหารรสเลิศและทำความสะอาดห้องครัวทั้งหมดก่อนที่คนขับรถส่งของจะมาถึงพร้อมกับซื้อกลับบ้าน	Người quản lý để nấu một bữa ăn ngon và dọn dẹp toàn bộ nhà bếp trước khi tài xế giao hàng có thể đến với đồ mang đi.	在送貨司機帶着外賣到達之前，設法做了一頓美餐並打掃了整個廚房的人。
The flame trembles… chaos awaits, but through it, you’ll find your true power.	The flame trembles… chaos awaits, but through it, you’ll find your true power.	炎が震える...混沌が待っているが、それを通して、あなたは本当の力を見つけることができます。	اللهب يرتجف... الفوضى تنتظر ، ولكن من خلال ذلك ، ستجد قوتك الحقيقية.	Die Flamme zittert... das Chaos erwartet dich, aber durch sie wirst du deine wahre Kraft finden.	La llama tiembla... el caos espera, pero a través de él, encontrarás tu verdadero poder.	La flamme tremble... le chaos vous attend, mais à travers elle, vous trouverez votre véritable pouvoir.	A chama treme... o caos espera, mas através dela, você encontrará seu verdadeiro poder.	เปลวไฟสั่นสะเทือน.. ความโกลาหลรออยู่ แต่ผ่านมันไป คุณจะพบพลังที่แท้จริงของคุณ	Ngọn lửa run rẩy... hỗn loạn đang chờ đợi, nhưng thông qua nó, bạn sẽ tìm thấy sức  thực sự của mình.	火焰顫抖…混亂等待着你，但是通過它，你會找到你真正的力量。
The Storm Within: chaos surrounds you, but you command it, turning every wild moment into strength.	The Storm Within: chaos surrounds you, but you command it, turning every wild moment into strength.	内なる嵐:混沌があなたを取り巻いていますが、あなたはそれを支配し、すべての荒々しい瞬間を強さに変えます。	العاصفة في الداخل: الفوضى تحيط بك ، لكنك تأمر بها ، وتحول كل لحظة جامحة إلى قوة.	Der Sturm im Inneren: Das Chaos umgibt dich, aber du befehligst es und verwandelst jeden wilden Moment in Stärke.	La Tormenta Interior: el caos te rodea, pero tú lo mandas, convirtiendo cada momento salvaje en fuerza.	La tempête intérieure : le chaos vous entoure, mais vous le commandez, transformant chaque moment sauvage en force.	A Tempestade Interior: o caos o rodeia, mas você o comanda, transformando cada momento selvagem em força.	พายุภายใน: ความโกลาหลล้อมรอบคุณ แต่คุณสั่งมันเปลี่ยนทุกช่วงเวลาป่าให้กลายเป็นความแข็งแกร่ง	The Storm Within: hỗn loạn bao quanh bạn, nhưng bạn chỉ huy nó, biến mọi khoảnh khắc hoang dã thành sức .	內在風暴：混亂包圍着你，但你命令它，把每一個狂野的時刻變成力量。
Monster’s Wild Kiss	Monster’s Wild Kiss	モンスターのワイルドなキス	قبلة الوحش البرية	Der wilde Kuss des Monsters	El beso salvaje del monstruo	Le baiser sauvage du monstre	Beijo Selvagem Do Monstro	จูบป่าของสัตว์ประหลาด	Nụ hôn hoang dã của quái vật	怪物的狂野之吻
I'm a Ghost	I'm a Ghost	私は幽霊です	انا شبح	Ich bin ein Geist	Soy un fantasma	Je suis un fantôme	Eu sou um fantasma	ฉันเป็นผี	Tôi là một con ma	我是幽靈
Witch’s Toffee:clever, mischievous, and unpredictable, you turn chaos into charm wherever you go.	Witch’s Toffee:clever, mischievous, and unpredictable, you turn chaos into charm wherever you go.	魔女のトフィー:賢く、いたずら好きで予測不可能なあなたは、どこへ行っても混沌を魅力に変えます。	Witch 's Toffee: ذكي ، مؤذ ، ولا يمكن التنبؤ به ، يمكنك تحويل الفوضى إلى سحر أينما ذهبت.	Witch 's Toffee: Klug, schelmisch und unberechenbar verwandeln Sie Chaos in Charme, wo immer Sie hingehen.	Toffee de bruja: inteligente, travieso e impredecible, conviertes el caos en encanto donde quiera que vayas.	Caramel de sorcière : intelligent, espiègle et imprévisible, vous transformez le chaos en charme où que vous alliez.	Caramelo de Bruxa: inteligente, travesso e imprevisível, você transforma o caos em charme onde quer que vá.	ทอฟฟี่ของแม่มด: ฉลาด ซุกซน และคาดเดาไม่ได้ คุณเปลี่ยนความโกลาหลให้กลายเป็นเสน่ห์ทุกที่ที่คุณไป	Kẹo bơ  phù thủy: thông minh, tinh nghịch và không thể đoán trước, bạn biến sự hỗn loạn thành sự  mọi lúc mọi nơi.	女巫的太妃糖：聰明、淘氣、不可預測，無論你走到哪裏，你都會把混亂變成魅力。
Moon’s Blessing:calm energy surrounds you; peace, clarity, and small miracles follow your path.	Moon’s Blessing:calm energy surrounds you; peace, clarity, and small miracles follow your path.	月の祝福:穏やかなエネルギーがあなたを包み込み、平和、明晰さ、そして小さな奇跡があなたの道を追いかけます。	نعمة القمر: الطاقة الهادئة تحيط بك ؛ السلام والوضوح والمعجزات الصغيرة تتبع طريقك.	Mondsegen: Ruhige Energie umgibt dich; Frieden, Klarheit und kleine Wunder folgen deinem Weg.	Bendición de la luna: la energía tranquila te rodea; paz, claridad y pequeños milagros siguen tu camino.	Bénédiction de la Lune : une énergie calme vous entoure ; paix, clarté et petits miracles suivent votre chemin.	Bênção da Lua: uma energia calma o cerca; paz, clareza e pequenos milagres seguem seu caminho.	พรของดวงจันทร์: พลังงานสงบล้อมรอบคุณ ความสงบ ความชัดเจน และปาฏิหาริย์เล็กๆ เป็นไปตามเส้นทางของคุณ	Phước lành của mặt trăng: năng lượng bình tĩnh bao quanh bạn; hòa bình, rõ ràng và những phép màu nhỏ đi theo con đường của bạn.	月亮的祝福：平靜的能量圍繞着你；和平、清晰和小奇蹟跟隨着你的道路。
You are both the curse and the blessing.Once you accept that, the world will bend toward your will.	You are both the curse and the blessing.Once you accept that, the world will bend toward your will.	あなたは呪いであり、祝福でもあります。それを受け入れれば、世界はあなたの意志に向かって曲がります。	أنت اللعنة والنعمة ، وبمجرد أن تقبل ذلك ، سينحني العالم نحو إرادتك.	Du bist sowohl der Fluch als auch der Segen. Sobald du das akzeptierst, wird sich die Welt deinem Willen beugen.	Eres tanto la maldición como la bendición. Una vez que aceptes eso, el mundo se inclinará hacia tu voluntad.	Vous êtes à la fois la malédiction et la bénédiction. Une fois que vous acceptez cela, le monde se pliera à votre volonté.	Você é a maldição e a bênção. Depois de aceitar isso, o mundo se curvará em direção à sua vontade.	คุณเป็นทั้งคำสาปและพร เมื่อคุณยอมรับสิ่งนั้น โลกจะโค้งงอไปตามความประสงค์ของคุณ	Bạn vừa là lời nguyền vừa là sự ban phước. Một khi bạn chấp nhận điều đó, thế giới sẽ uốn cong theo ý muốn của bạn.	你既是詛咒也是祝福。一旦你接受了這一點，世界就會向你的意願屈服。
EXCEPTIONAL SELF-AWARENESS	EXCEPTIONAL SELF-AWARENESS	例外的な自己認識	الوعي الذاتي الاستثنائي	AUSSERGEWÖHNLICHES SELBSTBEWUSSTSEIN	CONCIENCIACIÓN EXCEPCIONAL DE SÍ MISMO	CONSCIENCE DE SOI EXCEPTIONNELLE	AUTOCONSCIÊNCIA EXCEPCIONAL	การรับ้ตนเองที่ยอดเยี่ยม	NGOẠI LỆ TỰ NHẬN THỨC	非凡的自我意識
You gain the special power of finding amazing opportunities in the most unexpected places.	You gain the special power of finding amazing opportunities in the most unexpected places.	あなたは最も予期せぬ場所で素晴らしい機会を見つける特別な力を得ます。	تكتسب القوة الخاصة لإيجاد فرص مذهلة في أكثر الأماكن غير المتوقعة.	Sie erhalten die besondere Kraft, erstaunliche Gelegenheiten an den unerwartetsten Orten zu finden.	Obtienes el poder especial de encontrar oportunidades increíbles en los lugares más inesperados.	Vous gagnez le pouvoir spécial de trouver des opportunités incroyables dans les endroits les plus inattendus.	Você ganha o poder especial de encontrar oportunidades incríveis nos lugares mais inesperados.	คุณได้รับพลังพิเศษในการค้นหาโอกาสที่น่าในสถานที่ที่ไม่คาดคิดที่สุด	Bạn có được sức  đặc biệt là tìm kiếm những cơ hội tuyệt vời ở những nơi bất ngờ nhất.	你獲得了在最意想不到的地方發現驚人機會的特殊力量。
Or… nothing happens, and that’s destiny too.	Or… nothing happens, and that’s destiny too.	何も起こらない、それも運命だ。	أو... لا شيء يحدث ، وهذا هو القدر أيضًا.	Oder... nichts passiert, und das ist auch Schicksal.	O... no pasa nada, y ese también es el destino.	Ou rien ne se passe, et c'est aussi le destin.	Ou... nada acontece, e esse é o destino também.	หรือ... ไม่มีอะไรเกิดขึ้นและนั่นก็เป็นโชคชะตาเช่นกัน	Hoặc... không có gì xảy ra, và đó cũng là định mệnh.	或者…什麼都沒發生，這也是命運。
Your partner is the rare soul who truly understands your thoughts before you ever speak them.	Your partner is the rare soul who truly understands your thoughts before you ever speak them.	あなたのパートナーは、あなたがそれらを話す前に本当にあなたの考えを理解するまれな魂です。	شريكك هو الروح النادرة التي تفهم أفكارك حقًا قبل أن تتحدث بها.	Ihr Partner ist die seltene Seele, die Ihre Gedanken wirklich versteht, bevor Sie sie überhaupt aussprechen.	Tu pareja es el alma rara que realmente entiende tus pensamientos antes de que los digas.	Votre partenaire est l'âme rare qui comprend vraiment vos pensées avant que vous ne les parliez.	Seu parceiro é a alma rara que realmente entende seus pensamentos antes mesmo de você falar sobre eles.	คู่ของคุณคือวิญญาณหายากที่เข้าใจความคิดของคุณอย่างแท้จริงก่อนที่คุณจะพูด	Đối tác của bạn là linh hồn hiếm hoi thực sự hiểu suy nghĩ của bạn trước khi bạn nói chúng.	你的伴侶是罕見的靈魂，在你說出你的想法之前，他真正理解你的想法。
Strong daily discipline	Strong daily discipline	日々の厳しい規律	الانضباط اليومي القوي	Starke tägliche Disziplin	Fuerte disciplina diaria	Forte discipline quotidienne	Forte disciplina diária	วินัยประจำวันที่แข็งแกร่ง	Kỷ luật hàng ngày  mẽ	強大的日常紀律
New language fluency	New language fluency	新しい言語の流暢さ	الطلاقة اللغوية الجديدة	Neue Sprachfließfähigkeit	Nueva fluidez lingüística	Nouvelle maîtrise de la langue	Nova fluência no idioma	ความคล่องแคล่วภาษาใหม่	Thông thạo ngôn ngữ mới	新語言流暢度
Overcome biggest fear	Overcome biggest fear	最大の恐怖を克服する	التغلب على أكبر الخوف	Die größte Angst überwinden	Supera el mayor miedo	Surmonter la plus grande peur	Supere o maior medo	เอาชนะความกลัวที่ยิ่งใหญ่ที่สุด	Vượt qua nỗi sợ hãi lớn nhất	克服最大的恐懼
Master new hobby	Master new hobby	新しい趣味をマスターする	اتقن هواية جديدة	Neues Hobby meistern	Domina un nuevo pasatiempo	Maître nouveau passe-temps	Mestre novo hobby	ต้นแบบงานอดิเรกใหม่	Làm chủ sở thích mới	掌握新愛好
Unstoppable learning curve	Unstoppable learning curve	止まらない学習曲線	منحنى التعلم لا يمكن وقفها	Unaufhaltsame Lernkurve	Curva de aprendizaje imparable	Courbe d'apprentissage imparable	Curva de aprendizado imparável	เส้นโค้งการเรียน้ที่ผ่านพ้นไม่ได้	Đường cong học tập không thể ngăn cản	不可阻擋的學習曲線
Trans-Siberian Railway	Trans-Siberian Railway	シベリア鉄道	السكك الحديدية العابرة لسيبيريا	Transsibirische Eisenbahn	Ferrocarril Transiberiano	Chemin de fer transsibérien	Ferrovia Trans-Siberiana	รถไฟทรานส์ไซบีเรียน	Đường sắt xuyên Siberia	西伯利亞大鐵路
Bhutan, Himalayas	Bhutan, Himalayas	ブータン,ヒマラヤ	بوتان ، الهيمالايا	Bhutan, Himalaya	Bután, Himalaya	Bhoutan, Himalaya	Butão, Himalaia	ภูฏาน เทือกเขาหิมาลัย	Bhutan, Himalaya	不丹，喜馬拉雅
Havana, Cuba	Havana, Cuba	Havana,キューバ	هافانا ، كوبا	Havanna, Kuba	La Habana, Cuba	La Havane, Cuba	Havana, Cuba	ฮาวานา คิวบา	Havana, Cuba	古巴哈瓦那
Cappadocia, Turkey	Cappadocia, Turkey	カッパドキア,トルコ	كابادوكيا, تركيا	Kappadokien, Türkei	Capadocia, Turquía	Cappadoce, Turquie	Capadócia, Turquia	คัปปาโดเกีย ตุรกี	Cappadocia, Thổ Nhĩ Kỳ	卡帕多西亞，土耳其
Marrakech, Morocco	Marrakech, Morocco	マラケシュ,モロッコ	مراكش ، المغرب	Marrakesch, Marokko	Marrakech, Marruecos	Marrakech, Maroc	Marraquexe, Marrocos	มาร์ราเกช โมร็อกโก	Marrakech, Maroc	摩洛哥馬拉喀什
Courage	Courage	勇気を	الشجاعة	Mut	Coraje	Courage	Coragem	ความกล้าหาญ	Dũng cảm	勇氣
Explore	Explore	探索する	اكسبلور	Erkunden Sie	Explorar	Explorer	Explorar	สำรวจ	Khám phá	探索
Learn	Learn	学ぶ	تعلم	Lernen	Aprender	Apprendre	Aprender	เรียน้	Học hỏi	學習
Adapt	Adapt	適応する	تكيف	Anpassen	Adaptarse	Adapter	Adaptar	ปรับ	Thích nghi	適應
Flow	Flow	流れ	تدفق	Durchfluss	Flujo	Flux	Fluxo	ไหล	Dòng chảy	流動
"You proved that purpose and profit are not mutually exclusive. Your success is rooted in authentic passion and courageously pursuing what you genuinely love. When the work comes from the heart, the results speak volumes.
"	"You proved that purpose and profit are not mutually exclusive. Your success is rooted in authentic passion and courageously pursuing what you genuinely love. When the work comes from the heart, the results speak volumes.
"	"あなたは目的と利益が相反するものではないことを証明しました。あなたの成功は本物の情熱に根ざしており、あなたが本当に愛しているものを勇敢に追求しています。仕事が心から来るとき、結果はボリュームを語ります。
"	"لقد أثبتت أن الغرض والربح لا يستبعد أحدهما الآخر. نجاحك متجذر في الشغف الأصيل والسعي بشجاعة وراء ما تحبه حقًا. عندما يأتي العمل من القلب ، فإن النتائج تتحدث عن الكثير.
"	"Sie haben bewiesen, dass sich Zweck und Gewinn nicht gegenseitig ausschließen. Ihr Erfolg wurzelt in authentischer Leidenschaft und mutigem Streben nach was Sie wirklich lieben. Wenn die Arbeit von Herzen kommt, sprechen die Ergebnisse Bände.
"	"Demostraste que el propósito y el beneficio no son mutuamente excluyentes. Tu éxito se basa en la pasión auténtica y en perseguir valientemente lo que realmente amas. Cuando el trabajo sale del corazón, los resultados dicen mucho.
"	"Vous avez prouvé que le but et le profit ne s'excluent pas mutuellement. Votre succès est enraciné dans une passion authentique et dans la poursuite courageuse de ce que vous aimez vraiment. Lorsque le travail vient du cœur, les résultats en disent long.
"	"Você provou que propósito e lucro não são mutuamente exclusivos. Seu sucesso está enraizado na paixão autêntica e na busca corajosa pelo que você realmente ama. Quando o trabalho vem do coração, os resultados falam muito.
"	"คุณพิสูจน์แล้วว่าวัตถุประสงค์และผลกำไรไม่ได้เกิดขึ้นพร้อมกัน ความสำเร็จของคุณมีรากฐานมาจากความหลงใหลที่แท้จริงและการติดตามสิ่งที่คุณรักอย่างแท้จริงอย่างกล้าหาญ เมื่องานมาจากใจผลลัพธ์จะพูดได้มากมาย
"	"Bạn đã chứng minh rằng mục đích và lợi nhuận không loại trừ lẫn nhau. Thành công của bạn bắt nguồn từ niềm đam mê đích thực và can đảm theo đuổi những gì bạn thực sự yêu thích. Khi công việc xuất phát từ trái tim, kết quả nói lên khối lượng.
"	"你證明了目標和利潤並不相互排斥。你的成功植根於真正的激情和勇敢地追求你真正熱愛的東西。當工作發自內心時，結果就很有說服力。
"
The Secret Menu Blend: You are overly complicated, cost a fortune, and only two people in the entire world know how to order you correctly.	The Secret Menu Blend: You are overly complicated, cost a fortune, and only two people in the entire world know how to order you correctly.	秘密のメニューブレンド:あなたは複雑すぎて、莫大な費用がかかり、世界中でたった2人しかあなたを正しく注文する方法を知りません。	مزيج القائمة السرية: أنت معقد للغاية ، وتكلف ثروة ، وشخصان فقط في العالم بأسره يعرفان كيفية طلبك بشكل صحيح.	Die geheime Menümischung: Sie sind übermäßig kompliziert, kosten ein Vermögen und nur zwei Menschen auf der ganzen Welt wissen, wie man Sie richtig bestellt.	La mezcla secreta del menú: eres demasiado complicado, cuestas una fortuna y solo dos personas en todo el mundo saben cómo ordenarte correctamente.	Le mélange de menus secrets : Vous êtes trop compliqué, coûtez une fortune et seules deux personnes dans le monde entier savent comment vous commander correctement.	The Secret Menu Blend: Você é excessivamente complicado, custa uma fortuna e apenas duas pessoas no mundo inteiro sabem como pedir você corretamente.	การผสมผสานเมนูลับ: คุณซับซ้อนเกินไป เสียค่าใช้จ่ายมหาศาล และมีเพียงสองคนในโลกเท่านั้นที่้วิธีสั่งซื้อคุณอย่างถูกต้อง	The Secret Menu Blend: Bạn quá phức tạp, tốn rất nhiều tiền và chỉ có hai người trên toàn thế giới biết cách đặt hàng chính xác cho bạn.	祕密菜單混合：你太複雜了，花了一大筆錢，全世界只有兩個人知道如何正確訂購你。
Or maybe it’s simply your own spirit, stronger than you ever believed.	Or maybe it’s simply your own spirit, stronger than you ever believed.	それとも、単にあなた自身の精神が、あなたが信じていた以上に強いのかもしれません。	أو ربما هي ببساطة روحك الخاصة ، أقوى مما كنت تعتقد.	Oder vielleicht ist es einfach Ihr eigener Geist, stärker als Sie jemals geglaubt haben.	O tal vez es simplemente tu propio espíritu, más fuerte de lo que creías.	Ou peut-être que c'est simplement votre propre esprit, plus fort que vous ne l'avez jamais cru.	Ou talvez seja simplesmente o seu próprio espírito, mais forte do que você jamais acreditou.	หรืออาจเป็นเพียงจิตวิญญาณของคุณเอง แข็งแกร่งกว่าที่คุณเคยเชื่อ	Hoặc có thể đó chỉ đơn giản là tinh thần của chính bạn,  mẽ hơn bạn từng tin tưởng.	或者也許只是你自己的精神，比你想象的要強大。
Or maybe… it’s just your own doubt, pretending to be someone else.	Or maybe… it’s just your own doubt, pretending to be someone else.	それとも...それはあなた自身の疑念で、他の誰かを装っているだけかもしれません。	أو ربما... انها مجرد شك الخاصة بك ، التظاهر ليكون شخص آخر.	Oder vielleicht... ist es nur dein eigener Zweifel, so zu tun, als wärst du jemand anderes.	O tal vez... es solo tu propia duda, fingiendo ser otra persona.	Ou peut-être que c'est juste ton propre doute, faire semblant d'être quelqu'un d'autre.	Ou talvez... seja apenas sua própria dúvida, fingindo ser outra pessoa.	หรืออาจจะ.. มันเป็นเพียงความสงสัยของคุณเองโดยแสร้งทำเป็นคนอื่น	Hoặc có thể... đó chỉ là nghi ngờ của riêng bạn, giả vờ là người khác.	或者也許…這只是你自己的懷疑，假裝是別人。
Butterfly	Butterfly	バタフライ	فراشة	Schmetterling	Mariposa	Papillon	Borboleta	ผีเสื้อ	Bướm	蝴蝶
Celebrated worldwide for sticking to a fitness routine for an entire year without missing a single day, proving that discipline is the new superpower.	Celebrated worldwide for sticking to a fitness routine for an entire year without missing a single day, proving that discipline is the new superpower.	1日も欠かさずに1年間フィットネスルーティンに固執し、規律が新しいスーパーパワーであることを証明したことで、世界中で称賛されています。	تم الاحتفال به في جميع أنحاء العالم لالتزامه بروتين اللياقة البدنية لمدة عام كامل دون تفويت يوم واحد ، مما يثبت أن الانضباط هو القوة العظمى الجديدة.	Weltweit gefeiert, weil er ein ganzes Jahr lang ohne einen einzigen Tag an einer Fitnessroutine festgehalten hat, was beweist, dass Disziplin die neue Superkraft ist.	Celebrado en todo el mundo por mantener una rutina de fitness durante todo un año sin perder un solo día, demostrando que la disciplina es la nueva superpotencia.	Célébré dans le monde entier pour s'en tenir à une routine de fitness pendant une année entière sans manquer une seule journée, prouvant que la discipline est la nouvelle superpuissance.	Celebrado mundialmente por seguir uma rotina de exercícios por um ano inteiro sem perder um único dia, provando que a disciplina é a nova superpotência.	เฉลิมฉลองไปทั่วโลกสำหรับการยึดติดกับกิจวัตรการออกกำลังกายตลอดทั้งปีโดยไม่พลาดแม้แต่วันเดียว พิสูจน์ให้เห็นว่าวินัยคือมหาอำนาจคนใหม่	Được tôn vinh trên toàn thế giới vì đã tuân thủ thói quen tập thể dục trong cả năm mà không bỏ lỡ một ngày nào, chứng tỏ rằng kỷ luật là siêu năng lực mới.	全世界都在慶祝堅持一整年的健身計劃，一天也沒錯過，證明紀律是新的超級大國。